value,value_diff,value_diff2
156309,,
156527,218.0,
156731,204.0,-14.0
156943,212.0,8.0
157140,197.0,-15.0
157343,203.0,6.0
157553,210.0,7.0
157798,245.0,35.0
158053,255.0,10.0
158306,253.0,-2.0
158451,145.0,-108.0
158757,306.0,161.0
158973,216.0,-90.0
159170,197.0,-19.0
159349,179.0,-18.0
159556,207.0,28.0
159745,189.0,-18.0
159956,211.0,22.0
160184,228.0,17.0
160449,265.0,37.0
160718,269.0,4.0
160978,260.0,-9.0
161223,245.0,-15.0
161453,230.0,-15.0
161690,237.0,7.0
161912,222.0,-15.0
162124,212.0,-10.0
162350,226.0,14.0
162564,214.0,-12.0
162790,226.0,12.0
163026,236.0,10.0
163290,264.0,28.0
163570,280.0,16.0
163847,277.0,-3.0
164107,260.0,-17.0
164349,242.0,-18.0
164588,239.0,-3.0
164809,221.0,-18.0
165018,209.0,-12.0
165251,233.0,24.0
165463,212.0,-21.0
165695,232.0,20.0
165931,236.0,4.0
166192,261.0,25.0
166473,281.0,20.0
166755,282.0,1.0
167023,268.0,-14.0
167270,247.0,-21.0
167513,243.0,-4.0
167746,233.0,-10.0
167977,231.0,-2.0
168221,244.0,13.0
168436,215.0,-29.0
168659,223.0,8.0
168903,244.0,21.0
169191,288.0,44.0
169488,297.0,9.0
169780,292.0,-5.0
170063,283.0,-9.0
170315,252.0,-31.0
170571,256.0,4.0
170806,235.0,-21.0
171029,223.0,-12.0
171271,242.0,19.0
171501,230.0,-12.0
171741,240.0,10.0
171984,243.0,3.0
172257,273.0,30.0
172538,281.0,8.0
172816,278.0,-3.0
173070,254.0,-24.0
173298,228.0,-26.0
173533,235.0,7.0
173746,213.0,-22.0
173945,199.0,-14.0
174176,231.0,32.0
174397,221.0,-10.0
174639,242.0,21.0
174882,243.0,1.0
175143,261.0,18.0
175413,270.0,9.0
175697,284.0,14.0
175966,269.0,-15.0
176207,241.0,-28.0
176447,240.0,-1.0
176685,238.0,-2.0
176905,220.0,-18.0
177146,241.0,21.0
177365,219.0,-22.0
177591,226.0,7.0
177830,239.0,13.0
178101,271.0,32.0
178376,275.0,4.0
178657,281.0,6.0
178921,264.0,-17.0
179153,232.0,-32.0
179386,233.0,1.0
179597,211.0,-22.0
179788,191.0,-20.0
180007,219.0,28.0
180222,215.0,-4.0
180444,222.0,7.0
180671,227.0,5.0
180945,274.0,47.0
181238,293.0,19.0
181528,290.0,-3.0
181796,268.0,-22.0
182042,246.0,-22.0
182287,245.0,-1.0
182520,233.0,-12.0
182742,222.0,-11.0
182992,250.0,28.0
183217,225.0,-25.0
183452,235.0,10.0
183691,239.0,4.0
183958,267.0,28.0
184243,285.0,18.0
184524,281.0,-4.0
184783,259.0,-22.0
185016,233.0,-26.0
185242,226.0,-7.0
185452,210.0,-16.0
185650,198.0,-12.0
185874,224.0,26.0
186087,213.0,-11.0
186314,227.0,14.0
186538,224.0,-3.0
186790,252.0,28.0
187058,268.0,16.0
187323,265.0,-3.0
187574,251.0,-14.0
187796,222.0,-29.0
188013,217.0,-5.0
188213,200.0,-17.0
188387,174.0,-26.0
188580,193.0,19.0
188790,210.0,17.0
189018,228.0,18.0
189242,224.0,-4.0
189496,254.0,30.0
189761,265.0,11.0
190028,267.0,2.0
190265,237.0,-30.0
190472,207.0,-30.0
190668,196.0,-11.0
190858,190.0,-6.0
191047,189.0,-1.0
191245,198.0,9.0
191447,202.0,4.0
191666,219.0,17.0
191889,223.0,4.0
192131,242.0,19.0
192376,245.0,3.0
192631,255.0,10.0
192847,216.0,-39.0
193039,192.0,-24.0
193223,184.0,-8.0
193393,170.0,-14.0
193540,147.0,-23.0
193709,169.0,22.0
193888,179.0,10.0
194087,199.0,20.0
194303,216.0,17.0
194528,225.0,9.0
194761,233.0,8.0
194997,236.0,3.0
195195,198.0,-38.0
195372,177.0,-21.0
195539,167.0,-10.0
195688,149.0,-18.0
195831,143.0,-6.0
195999,168.0,25.0
196178,179.0,11.0
196372,194.0,15.0
196560,188.0,-6.0
196762,202.0,14.0
196984,222.0,20.0
197207,223.0,1.0
197398,191.0,-32.0
197572,174.0,-17.0
197736,164.0,-10.0
197892,156.0,-8.0
198037,145.0,-11.0
198206,169.0,24.0
198363,157.0,-12.0
198537,174.0,17.0
198712,175.0,1.0
198911,199.0,24.0
199113,202.0,3.0
199311,198.0,-4.0
199498,187.0,-11.0
199657,159.0,-28.0
199808,151.0,-8.0
199920,112.0,-39.0
200056,136.0,24.0
200208,152.0,16.0
200361,153.0,1.0
200536,175.0,22.0
200706,170.0,-5.0
200898,192.0,22.0
201095,197.0,5.0
201290,195.0,-2.0
201466,176.0,-19.0
201621,155.0,-21.0
201760,139.0,-16.0
201881,121.0,-18.0
202023,142.0,21.0
202161,138.0,-4.0
202331,170.0,32.0
202507,176.0,6.0
202677,170.0,-6.0
202877,200.0,30.0
203090,213.0,13.0
203302,212.0,-1.0
203500,198.0,-14.0
203675,175.0,-23.0
203849,174.0,-1.0
204008,159.0,-15.0
204156,148.0,-11.0
204401,245.0,97.0
204607,206.0,-39.0
204830,223.0,17.0
