date,value,value_diff,value_diff2
1952-01-01,156309,,
1952-04-01,156943,634.0,
1952-07-01,157553,610.0,-24.0
1952-10-01,158306,753.0,143.0
1953-01-01,158973,667.0,-86.0
1953-04-01,159556,583.0,-84.0
1953-07-01,160184,628.0,45.0
1953-10-01,160978,794.0,166.0
1954-01-01,161690,712.0,-82.0
1954-04-01,162350,660.0,-52.0
1954-07-01,163026,676.0,16.0
1954-10-01,163847,821.0,145.0
1955-01-01,164588,741.0,-80.0
1955-04-01,165251,663.0,-78.0
1955-07-01,165931,680.0,17.0
1955-10-01,166755,824.0,144.0
1956-01-01,167513,758.0,-66.0
1956-04-01,168221,708.0,-50.0
1956-07-01,168903,682.0,-26.0
1956-10-01,169780,877.0,195.0
1957-01-01,170571,791.0,-86.0
1957-04-01,171271,700.0,-91.0
1957-07-01,171984,713.0,13.0
1957-10-01,172816,832.0,119.0
1958-01-01,173533,717.0,-115.0
1958-04-01,174176,643.0,-74.0
1958-07-01,174882,706.0,63.0
1958-10-01,175697,815.0,109.0
1959-01-01,176447,750.0,-65.0
1959-04-01,177146,699.0,-51.0
1959-07-01,177830,684.0,-15.0
1959-10-01,178657,827.0,143.0
1960-01-01,179386,729.0,-98.0
1960-04-01,180007,621.0,-108.0
1960-07-01,180671,664.0,43.0
1960-10-01,181528,857.0,193.0
1961-01-01,182287,759.0,-98.0
1961-04-01,182992,705.0,-54.0
1961-07-01,183691,699.0,-6.0
1961-10-01,184524,833.0,134.0
1962-01-01,185242,718.0,-115.0
1962-04-01,185874,632.0,-86.0
1962-07-01,186538,664.0,32.0
1962-10-01,187323,785.0,121.0
1963-01-01,188013,690.0,-95.0
1963-04-01,188580,567.0,-123.0
1963-07-01,189242,662.0,95.0
1963-10-01,190028,786.0,124.0
1964-01-01,190668,640.0,-146.0
1964-04-01,191245,577.0,-63.0
1964-07-01,191889,644.0,67.0
1964-10-01,192631,742.0,98.0
1965-01-01,193223,592.0,-150.0
1965-04-01,193709,486.0,-106.0
1965-07-01,194303,594.0,108.0
1965-10-01,194997,694.0,100.0
1966-01-01,195539,542.0,-152.0
1966-04-01,195999,460.0,-82.0
1966-07-01,196560,561.0,101.0
1966-10-01,197207,647.0,86.0
1967-01-01,197736,529.0,-118.0
1967-04-01,198206,470.0,-59.0
1967-07-01,198712,506.0,36.0
1967-10-01,199311,599.0,93.0
1968-01-01,199808,497.0,-102.0
1968-04-01,200208,400.0,-97.0
1968-07-01,200706,498.0,98.0
1968-10-01,201290,584.0,86.0
1969-01-01,201760,470.0,-114.0
1969-04-01,202161,401.0,-69.0
1969-07-01,202677,516.0,115.0
1969-10-01,203302,625.0,109.0
1970-01-01,203849,547.0,-78.0
1970-04-01,204401,552.0,5.0
1970-07-01,205052,651.0,99.0
1970-10-01,205788,736.0,85.0
1971-01-01,206466,678.0,-58.0
1971-04-01,207065,599.0,-79.0
1971-07-01,207661,596.0,-3.0
1971-10-01,208345,684.0,88.0
1972-01-01,208917,572.0,-112.0
1972-04-01,209386,469.0,-103.0
1972-07-01,209896,510.0,41.0
1972-10-01,210479,583.0,73.0
1973-01-01,210985,506.0,-77.0
1973-04-01,211420,435.0,-71.0
1973-07-01,211909,489.0,54.0
1973-10-01,212475,566.0,77.0
1974-01-01,212932,457.0,-109.0
1974-04-01,213361,429.0,-28.0
1974-07-01,213854,493.0,64.0
1974-10-01,214451,597.0,104.0
1975-01-01,214931,480.0,-117.0
1975-04-01,215353,422.0,-58.0
1975-07-01,215973,620.0,198.0
1975-10-01,216587,614.0,-6.0
1976-01-01,217095,508.0,-106.0
1976-04-01,217528,433.0,-75.0
1976-07-01,218035,507.0,74.0
1976-10-01,218644,609.0,102.0
1977-01-01,219179,535.0,-74.0
1977-04-01,219684,505.0,-30.0
1977-07-01,220239,555.0,50.0
1977-10-01,220904,665.0,110.0
1978-01-01,221477,573.0,-92.0
1978-04-01,221991,514.0,-59.0
1978-07-01,222585,594.0,80.0
1978-10-01,223271,686.0,92.0
1979-01-01,223865,594.0,-92.0
1979-04-01,224438,573.0,-21.0
1979-07-01,225055,617.0,44.0
1979-10-01,225801,746.0,129.0
1980-01-01,226451,650.0,-96.0
1980-04-01,227061,610.0,-40.0
1980-07-01,227726,665.0,55.0
1980-10-01,228417,691.0,26.0
1981-01-01,228937,520.0,-171.0
1981-04-01,229403,466.0,-54.0
1981-07-01,229966,563.0,97.0
1981-10-01,230641,675.0,112.0
1982-01-01,231157,516.0,-159.0
1982-04-01,231645,488.0,-28.0
1982-07-01,232188,543.0,55.0
1982-10-01,232816,628.0,85.0
1983-01-01,233322,506.0,-122.0
1983-04-01,233781,459.0,-47.0
1983-07-01,234307,526.0,67.0
1983-10-01,234907,600.0,74.0
1984-01-01,235385,478.0,-122.0
1984-04-01,235839,454.0,-24.0
1984-07-01,236348,509.0,55.0
1984-10-01,236976,628.0,119.0
1985-01-01,237468,492.0,-136.0
1985-04-01,237900,432.0,-60.0
1985-07-01,238466,566.0,134.0
1985-10-01,239113,647.0,81.0
1986-01-01,239638,525.0,-122.0
1986-04-01,240094,456.0,-69.0
1986-07-01,240651,557.0,101.0
1986-10-01,241274,623.0,66.0
1987-01-01,241784,510.0,-113.0
1987-04-01,242252,468.0,-42.0
1987-07-01,242804,552.0,84.0
1987-10-01,243446,642.0,90.0
1988-01-01,243981,535.0,-107.0
1988-04-01,244445,464.0,-71.0
1988-07-01,245021,576.0,112.0
1988-10-01,245693,672.0,96.0
1989-01-01,246224,531.0,-141.0
1989-04-01,246721,497.0,-34.0
1989-07-01,247342,621.0,124.0
1989-10-01,248067,725.0,104.0
1990-01-01,248659,592.0,-133.0
1990-04-01,249306,647.0,55.0
1990-07-01,250132,826.0,179.0
1990-10-01,251057,925.0,99.0
1991-01-01,251889,832.0,-93.0
1991-04-01,252643,754.0,-78.0
1991-07-01,253493,850.0,96.0
1991-10-01,254435,942.0,92.0
1992-01-01,255214,779.0,-163.0
1992-04-01,255992,778.0,-1.0
1992-07-01,256894,902.0,124.0
1992-10-01,257861,967.0,65.0
1993-01-01,258679,818.0,-149.0
1993-04-01,259414,735.0,-83.0
1993-07-01,260255,841.0,106.0
1993-10-01,261163,908.0,67.0
1994-01-01,261919,756.0,-152.0
1994-04-01,262631,712.0,-44.0
1994-07-01,263436,805.0,93.0
1994-10-01,264301,865.0,60.0
1995-01-01,265044,743.0,-122.0
1995-04-01,265755,711.0,-32.0
1995-07-01,266557,802.0,91.0
1995-10-01,267456,899.0,97.0
1996-01-01,268151,695.0,-204.0
1996-04-01,268853,702.0,7.0
1996-07-01,269667,814.0,112.0
1996-10-01,270581,914.0,100.0
1997-01-01,271360,779.0,-135.0
1997-04-01,272083,723.0,-56.0
1997-07-01,272912,829.0,106.0
1997-10-01,273852,940.0,111.0
1998-01-01,274626,774.0,-166.0
1998-04-01,275304,678.0,-96.0
1998-07-01,276115,811.0,133.0
1998-10-01,277003,888.0,77.0
1999-01-01,277790,787.0,-101.0
1999-04-01,278451,661.0,-126.0
1999-07-01,279295,844.0,183.0
1999-10-01,280203,908.0,64.0
2000-01-01,280976,773.0,-135.0
2000-04-01,281653,677.0,-96.0
2000-07-01,282385,732.0,55.0
2000-10-01,283201,816.0,84.0
2001-01-01,283920,719.0,-97.0
2001-04-01,284581,661.0,-58.0
2001-07-01,285309,728.0,67.0
2001-10-01,286098,789.0,61.0
2002-01-01,286788,690.0,-99.0
2002-04-01,287397,609.0,-81.0
2002-07-01,288105,708.0,99.0
2002-10-01,288870,765.0,57.0
2003-01-01,289518,648.0,-117.0
2003-04-01,290125,607.0,-41.0
2003-07-01,290820,695.0,88.0
2003-10-01,291574,754.0,59.0
2004-01-01,292192,618.0,-136.0
2004-04-01,292779,587.0,-31.0
2004-07-01,293463,684.0,97.0
2004-10-01,294230,767.0,83.0
2005-01-01,294914,684.0,-83.0
2005-04-01,295490,576.0,-108.0
2005-07-01,296186,696.0,120.0
2005-10-01,296972,786.0,90.0
2006-01-01,297647,675.0,-111.0
2006-04-01,298281,634.0,-41.0
2006-07-01,298996,715.0,81.0
2006-10-01,299835,839.0,124.0
2007-01-01,300574,739.0,-100.0
2007-04-01,301254,680.0,-59.0
2007-07-01,302004,750.0,70.0
2007-10-01,302807,803.0,53.0
2008-01-01,303506,699.0,-104.0
2008-04-01,304117,611.0,-88.0
2008-07-01,304798,681.0,70.0
2008-10-01,305554,756.0,75.0
2009-01-01,306208,654.0,-102.0
2009-04-01,306787,579.0,-75.0
2009-07-01,307439,652.0,73.0
2009-10-01,308189,750.0,98.0
2010-01-01,308833,644.0,-106.0
2010-04-01,309191,358.0,-286.0
2010-07-01,309745,554.0,196.0
2010-10-01,310399,654.0,100.0
2011-01-01,310960,561.0,-93.0
2011-04-01,311436,476.0,-85.0
2011-07-01,311997,561.0,85.0
2011-10-01,312644,647.0,86.0
2012-01-01,313183,539.0,-108.0
2012-04-01,313667,484.0,-55.0
2012-07-01,314210,543.0,59.0
2012-10-01,314853,643.0,100.0
2013-01-01,315389,536.0,-107.0
2013-04-01,315817,428.0,-108.0
2013-07-01,316358,541.0,113.0
2013-10-01,317022,664.0,123.0
2014-01-01,317593,571.0,-93.0
2014-04-01,318089,496.0,-75.0
2014-07-01,318662,573.0,77.0
2014-10-01,319353,691.0,118.0
2015-01-01,319928,575.0,-116.0
2015-04-01,320402,474.0,-101.0
2015-07-01,320978,576.0,102.0
2015-10-01,321653,675.0,99.0
2016-01-01,322232,579.0,-96.0
2016-04-01,322721,489.0,-90.0
2016-07-01,323291,570.0,81.0
2016-10-01,323919,628.0,58.0
2017-01-01,324438,519.0,-109.0
2017-04-01,324861,423.0,-96.0
2017-07-01,325367,506.0,83.0
2017-10-01,325965,598.0,92.0
2018-01-01,326454,489.0,-109.0
2018-04-01,326887,433.0,-56.0
2018-07-01,327403,516.0,83.0
2018-10-01,327990,587.0,71.0
2019-01-01,328467,477.0,-110.0
2019-04-01,328890,423.0,-54.0
2019-07-01,329394,504.0,81.0
2019-10-01,329982,588.0,84.0
